time,imu_heading,gspeed
1684817867.5285742,143.12425683280642,2.969
1684817867.548737,143.11621116135117,2.969
1684817867.5686605,143.09617554378195,2.969
1684817867.5876517,143.0868043226483,2.969
1684817867.6075883,143.06735804082604,2.969
1684817867.6282318,143.0673154870912,2.969
1684817867.6474748,143.05938445920532,2.969
1684817867.6676605,143.05938445920532,2.969
1684817867.6876538,143.05065355519267,2.969
1684817867.7079504,143.04194239869355,2.969
1684817867.7291286,143.04194239869355,2.969
1684817867.7483737,143.04549762791413,2.969
1684817867.7679007,143.0455925263419,2.969
1684817867.7885313,143.05546366198348,3.124
1684817867.8081918,143.0551749427276,3.124
1684817867.8285925,143.06351403143788,3.124
1684817867.8491864,143.06346045410422,3.124
1684817867.8680503,143.0621864050443,3.124
1684817867.8875427,143.07063521403626,3.124
1684817867.907914,143.0613440394144,3.124
1684817867.9275613,143.0431035681908,3.124
1684817867.9475784,143.0361924589029,3.124
1684817867.9681249,143.00803620637555,3.124
1684817867.9878716,143.00814248573806,3.124
1684817868.0075655,142.97201305257508,3.124
1684817868.0276935,142.97075504155413,3.124
1684817868.047398,142.952386544127,3.124
1684817868.068023,142.93482739929948,3.124
1684817868.087385,142.9256138546104,3.124
1684817868.1075573,142.91498284477123,3.124
1684817868.1292493,142.88612412347138,3.124
1684817868.147726,142.88493662711394,3.124
1684817868.1678188,142.87632001139121,3.124
1684817868.1876814,142.86728743770797,3.124
1684817868.2081516,142.85876233477472,3.124
1684817868.2286115,142.85857932780078,3.124
1684817868.2481785,142.85913366131567,3.124
1684817868.267843,142.8517103315178,3.124
1684817868.2888498,142.86452293882866,3.124
1684817868.3080573,142.8654877945644,3.124
1684817868.3283215,142.86796150763666,3.124
1684817868.348598,142.86902522425103,3.124
1684817868.3678281,142.8626098451674,3.124
1684817868.3877387,142.8631990373393,3.124
1684817868.407788,142.8631990373393,3.124
1684817868.4277275,142.8519743958069,3.124
1684817868.4476814,142.85045435082074,3.124
1684817868.4694443,142.85045435082074,3.124
1684817868.4881606,142.81273676562103,3.124
1684817868.5089455,142.8299388562949,3.124
1684817868.5281322,142.80277392033656,3.124
1684817868.5481434,142.8016706690545,3.124
1684817868.5689266,142.8016706690545,3.124
1684817868.587886,142.80810990200672,3.124
1684817868.6080835,142.83615046984409,3.124
1684817868.6278403,142.83633771698075,3.124
1684817868.6477463,142.84499411435215,3.124
1684817868.6679068,142.83747580999784,3.124
1684817868.6880693,142.83747580999784,3.124
1684817868.708041,142.8233148220445,3.124
1684817868.7282028,142.81543592213194,3.124
1684817868.7483873,142.81543592213194,3.124
1684817868.7678633,142.77249839723112,3.124
1684817868.7885833,142.77249839723112,3.236
1684817868.8077571,142.72701291449636,3.236
1684817868.827816,142.70927001108305,3.236
1684817868.848346,142.70927001108305,3.236
1684817868.8678875,142.61525072275396,3.236
1684817868.8882282,142.56795077177856,3.236
1684817868.9076765,142.50986821983707,3.236
1684817868.927903,142.45163283309358,3.236
1684817868.9480789,142.39315425943028,3.236
1684817868.9689386,142.33479033805617,3.236
1684817868.9885075,142.26643371354416,3.236
1684817869.0091016,142.26643371354416,3.236
1684817869.028133,142.12627037701398,3.236
1684817869.0481284,141.99820781652713,3.236
1684817869.0691197,141.99820781652713,3.236
1684817869.0882182,141.89834414619264,3.236
1684817869.1094582,141.70075756597095,3.236
1684817869.1286278,141.62158619078886,3.236
1684817869.1476505,141.5509798983452,3.236
1684817869.1678376,141.49916785850706,3.236
1684817869.187764,141.45590302401388,3.236
1684817869.208327,141.41304642999268,3.236
1684817869.2285523,141.35937327004908,3.236
1684817869.248513,141.35937327004908,3.236
1684817869.2680311,141.27237926682855,3.236
1684817869.2887726,141.22826465010897,3.236
1684817869.3077555,141.18174240790015,3.236
1684817869.328191,141.14556825525275,3.236
1684817869.3484063,141.1289683425884,3.236
1684817869.3676648,141.12255892210655,3.236
1684817869.3879783,141.11701534715445,3.236
1684817869.407704,141.13193108541745,3.236
1684817869.4277096,141.12747930820092,3.236
1684817869.4481454,141.14033909805372,3.236
