time,heading,gps_heading,speeed,gspeed,gear
1684583250.9519954,63.272310336689884,63.272310336689884,0.0,0.018,0
1684583250.9714668,63.27189318831756,63.27189318831756,0.0,0.018,0
1684583250.9915583,63.27178368406851,63.27178368406851,0.0,0.018,0
1684583251.0117688,63.27208641310676,63.27208641310676,0.0,0.018,0
1684583251.0313556,63.27208641310676,63.27208641310676,0.0,0.018,0
1684583251.0516615,63.27227963848526,63.27227963848526,0.0,0.018,0
1684583251.071833,63.27258644127102,63.27258644127102,0.0,0.018,0
1684583251.0915344,63.27270096090095,63.27270096090095,0.0,0.018,0
1684583251.11158,63.28322100683366,63.28322100683366,0.0,0.018,0
1684583251.1317508,63.28341739527758,63.28341739527758,0.0,0.018,0
1684583251.1512535,63.28353582137947,63.28353582137947,0.0,0.0288,0
1684583251.1721172,63.28341739527758,63.28341739527758,0.0,0.0288,0
1684583251.191612,63.2730127795156,63.2730127795156,0.0,0.0288,0
1684583251.2115872,63.27289627390954,63.27289627390954,0.0,0.0288,0
1684583251.232143,63.27258644127102,63.27258644127102,0.0,0.0288,0
1684583251.2513952,63.272392172074404,63.272392172074404,0.0,0.0288,0
1684583251.2722952,63.28248799852625,63.28248799852625,0.0,0.0288,0
1684583251.2922633,63.272310336689884,63.272310336689884,0.0,0.0288,0
1684583251.3113685,63.27222735834275,63.27222735834275,0.0,0.0288,0
1684583251.3316576,63.27214323707659,63.27214323707659,0.0,0.0288,0
1684583251.3519545,63.27237053042168,63.27237053042168,0.0,0.0288,0
1684583251.3712707,63.27228506556344,63.27228506556344,0.0,0.0288,0
1684583251.3919916,63.27231331792342,63.27231331792342,0.0,0.0288,0
1684583251.4117885,63.272341169456325,63.272341169456325,0.0,0.0288,0
1684583251.431599,63.27225207561375,63.27225207561375,0.0,0.0288,0
1684583251.4521513,63.2822775814883,63.2822775814883,0.0,0.0288,0
1684583251.4713595,63.28176715934271,63.28176715934271,0.0,0.0288,0
1684583251.4916933,63.28136332716784,63.28136332716784,0.0,0.0288,0
1684583251.5121863,63.280840099487165,63.280840099487165,0.0,0.0288,0
1684583251.5313058,63.28042003203532,63.28042003203532,0.0,0.0288,0
1684583251.5514104,63.27988400083245,63.27988400083245,0.0,0.0288,0
1684583251.571492,63.27955884904017,63.27955884904017,0.0,0.0288,0
1684583251.5911672,63.27922197724013,63.27922197724013,0.0,0.0288,0
1684583251.6115894,63.27899168437878,63.27899168437878,0.0,0.0288,0
1684583251.6316853,63.271607530341385,63.271607530341385,0.0,0.0288,0
1684583251.6513176,63.27124333080792,63.27124333080792,0.0,0.0288,0
1684583251.6719027,63.27097363303349,63.27097363303349,0.0,0.0288,0
1684583251.692397,63.2705885804873,63.2705885804873,0.0,0.0288,0
