time,heading,imu_heading,gps_heading,gspeed,gear
1684844488.3283408,59.240164559449795,153.79982637014322,59.42300999999998,0.706,0
1684844488.3485186,59.173543730640745,153.73320554133417,59.42300999999998,0.706,0
1684844488.3681283,59.1167224042928,153.67638421498623,59.42300999999998,0.706,0
1684844488.3883507,59.07956463357149,153.63922644426492,59.42300999999998,0.706,0
1684844488.4086175,59.04199808719744,153.60165989789087,59.42300999999998,0.706,0
1684844488.4280229,59.011795868447194,153.57145767914062,59.42300999999998,0.706,0
1684844488.4482002,58.983248302070734,153.54291011276416,59.42300999999998,0.706,0
1684844488.4686055,58.94546295044964,153.50512476114307,59.42300999999998,0.706,0
1684844488.4882228,58.90719739556812,153.46685920626155,59.42300999999998,0.706,0
1684844488.508036,58.867623273276536,153.42728508396996,59.42300999999998,0.706,0
1684844488.5282323,58.79298920021296,153.35265101090638,59.42300999999998,0.706,0
1684844488.548705,58.73616465724473,153.29582646793816,59.42300999999998,0.706,0
1684844488.5681927,58.67887272129559,153.23853453198902,59.42300999999998,0.706,0
1684844488.5878377,58.62179789463994,153.18145970533337,59.42300999999998,0.706,0
1684844488.6078906,58.55563216996751,153.11529398066094,59.42300999999998,0.706,0
1684844488.6281226,58.508459394155494,153.06812120484892,59.42300999999998,0.706,0
1684844488.6481447,58.46047295463413,153.02013476532755,59.42300999999998,0.706,0
1684844488.6684723,58.42317483479732,152.98283664549075,59.42300999999998,0.706,0
1684844488.6885412,58.383448480655375,152.9431102913488,59.42300999999998,0.706,0
1684844488.7082572,58.335821256629174,152.8954830673226,59.42300999999998,0.706,0
1684844488.728476,58.279226193407,152.83888800410043,59.42300999999998,0.706,0
1684844488.7481995,58.230761005451996,152.79042281614542,59.42300999999998,0.706,0
1684844488.7681851,58.156736015485166,152.7163978261786,59.42300999999998,0.706,0
1684844488.78817,58.09899729848334,152.65865910917677,59.42300999999998,0.706,0
1684844488.808001,58.04252459326398,152.6021864039574,59.42300999999998,0.706,0
