time,gps_heading,gspeed
1684813707.9527202,0.0,0.005
1684813707.9724672,0.0,0.005
1684813707.9927394,0.0,0.005
1684813708.0122776,0.0,0.005
1684813708.0322921,0.0,0.005
1684813708.0523214,0.0,0.005
1684813708.0721226,0.0,0.005
1684813708.091923,0.0,0.005
1684813708.1123426,0.0,0.005
1684813708.1321375,0.0,0.005
1684813708.1523564,0.0,0.005
1684813708.1728735,0.0,0.005
1684813708.1919909,0.0,0.005
1684813708.2118664,0.0,0.005
1684813708.2326243,0.0,0.005
1684813708.2517967,0.0,0.005
1684813708.2723007,0.0,0.005
1684813708.2924473,0.0,0.005
1684813708.311978,0.0,0.005
1684813708.3322735,0.0,0.005
1684813708.3522313,0.0,0.005
1684813708.3719788,0.0,0.005
1684813708.3927882,0.0,0.005
1684813708.4123685,0.0,0.005
1684813708.43265,0.0,0.005
1684813708.452263,0.0,0.005
1684813708.4721985,0.0,0.005
1684813708.4926293,0.0,0.005
1684813708.5123162,0.0,0.005
1684813708.5321105,0.0,0.005
1684813708.5527804,0.0,0.005
1684813708.5720668,0.0,0.005
1684813708.592297,0.0,0.005
1684813708.6127524,0.0,0.005
1684813708.6320267,0.0,0.005
1684813708.6520655,0.0,0.005
1684813708.6728387,0.0,0.005
1684813708.6923172,0.0,0.005
1684813708.711821,0.0,0.005
1684813708.7317002,0.0,0.005
1684813708.7517488,0.0,0.005
1684813708.77274,0.0,0.005
1684813708.792258,0.0,0.005
1684813708.811998,0.0,0.005
1684813708.8327637,0.0,0.005
1684813708.8520103,0.0,0.005
1684813708.8721092,0.0,0.005
1684813708.8922698,0.0,0.005
1684813708.9120448,0.0,0.005
1684813708.9321513,0.0,0.005
1684813708.9523764,0.0,0.003
1684813708.9721174,0.0,0.003
1684813708.9927144,0.0,0.003
1684813709.0121,0.0,0.003
1684813709.0321789,0.0,0.003
1684813709.052741,0.0,0.003
1684813709.0719676,0.0,0.003
1684813709.092593,0.0,0.003
1684813709.1127753,0.0,0.003
1684813709.1322455,0.0,0.003
1684813709.1528995,0.0,0.003
1684813709.172343,0.0,0.003
1684813709.1920419,0.0,0.003
1684813709.2123306,0.0,0.003
1684813709.2321312,0.0,0.003
1684813709.251778,0.0,0.003
1684813709.2728,0.0,0.003
1684813709.2923827,0.0,0.003
1684813709.312125,0.0,0.003
1684813709.332576,0.0,0.003
1684813709.3520975,0.0,0.003
1684813709.372743,0.0,0.003
1684813709.3921916,0.0,0.003
1684813709.4121623,0.0,0.003
1684813709.4321146,0.0,0.003
1684813709.4519193,0.0,0.003
1684813709.4720578,0.0,0.003
1684813709.4922574,0.0,0.003
1684813709.5116808,0.0,0.003
1684813709.532005,0.0,0.003
1684813709.5522532,0.0,0.003
1684813709.5718718,0.0,0.003
1684813709.592197,0.0,0.003
1684813709.6118991,0.0,0.003
1684813709.6324027,0.0,0.003
1684813709.6526713,0.0,0.003
1684813709.6720614,0.0,0.003
1684813709.6921687,0.0,0.003
1684813709.712657,0.0,0.003
1684813709.7317848,0.0,0.003
1684813709.7525868,0.0,0.003
1684813709.7727551,0.0,0.003
1684813709.7921898,0.0,0.003
1684813709.8124955,0.0,0.003
1684813709.8326833,0.0,0.003
1684813709.8520386,0.0,0.003
1684813709.8725839,0.0,0.003
1684813709.8920712,0.0,0.003
1684813709.912061,0.0,0.003
1684813709.9328697,0.0,0.003
1684813709.9521413,0.0,0.176
1684813709.9723606,0.0,0.176
1684813709.992419,0.0,0.176
1684813710.0123374,0.0,0.176
1684813710.0321696,0.0,0.176
1684813710.0519655,0.0,0.176
1684813710.0719113,0.0,0.176
1684813710.0919847,0.0,0.176
1684813710.111863,0.0,0.176
