time,x,y,gps_heading,gspeed
1684816127.305526,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.3251112,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.345137,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.3652942,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.3846183,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.4059,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.4254837,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.4460895,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.4647338,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.4853191,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.5057127,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.5252526,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.5451288,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.565175,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.5853407,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.6049223,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.6258752,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.644998,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.6653223,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.6853447,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.7046523,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.7252047,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.7446203,7.628117288853054,2.119319553050807,0.0,0.047
1684816127.7651823,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.7853084,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.8054926,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.8257437,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.8454316,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.865282,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.8859637,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.9049237,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.9257717,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.9448683,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.9650497,7.9203712436348805,3.062698159678291,0.0,0.111
1684816127.9860597,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.0056422,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.0251937,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.046029,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.0657098,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.0846953,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.1047704,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.1252306,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.1463256,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.1648862,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.1854165,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.2054553,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.2264173,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.2451074,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.2654297,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.2858062,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.3053029,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.3262415,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.345212,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.3653314,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.386045,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.4052608,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.4259858,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.4462285,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.4647927,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.4856524,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.505317,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.5246735,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.5450854,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.565261,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.5856512,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.6062958,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.6247747,7.9203712436348805,3.062698159678291,0.0,0.111
1684816128.6452127,7.9203712436348805,3.062698159678291,0.0,0.111
