time,heading,gspeed
1684827084.9959493,59.0892730526067,0.706
1684827085.0154574,59.05211528188539,0.706
1684827085.035794,59.01454873551134,0.706
1684827085.0559754,58.98434651676109,0.706
1684827085.0755284,58.95579895038463,0.706
1684827085.0952,58.91801359876354,0.706
1684827085.115779,58.87974804388202,0.706
1684827085.135467,58.840173921590434,0.706
1684827085.155475,58.765539848526856,0.706
1684827085.1752992,58.70871530555863,0.706
1684827085.1956394,58.65142336960949,0.706
1684827085.2156682,58.59434854295384,0.706
1684827085.2354786,58.52818281828141,0.706
1684827085.2552795,58.48101004246939,0.706
1684827085.2747579,58.433023602948026,0.706
1684827085.2948704,58.39572548311122,0.706
1684827085.3152788,58.35599912896927,0.706
1684827085.33507,58.30837190494307,0.706
1684827085.355483,58.2517768417209,0.706
1684827085.3758168,58.203311653765894,0.706
1684827085.3952482,58.129286663799064,0.706
1684827085.4153824,58.07154794679724,0.706
1684827085.435951,58.015075241577875,0.706
1684827085.4554522,57.96747436447998,0.706
1684827085.4752734,57.910614551005466,0.706
1684827085.4960608,57.86314799502503,0.706
1684827085.5149155,57.8154719528321,0.706
1684827085.535273,57.75124742266087,0.706
1684827085.5551522,57.54934000000003,0.922
1684827085.5753188,57.54934000000003,0.922
1684827085.5954542,57.54934000000003,0.922
1684827085.615082,57.54934000000003,0.922
1684827085.6352808,57.54934000000003,0.922
1684827085.6553557,57.54934000000003,0.922
1684827085.6754222,57.54934000000003,0.922
1684827085.6958551,57.54934000000003,0.922
1684827085.7154036,57.54934000000003,0.922
1684827085.735426,57.54934000000003,0.922
1684827085.7557466,57.481775703134616,0.922
1684827085.7753038,57.42407735456993,0.922
1684827085.7954133,57.36721292752671,0.922
1684827085.8158085,57.30241650941966,0.922
1684827085.8351214,57.2462510584071,0.922
1684827085.855427,57.19921910226782,0.922
1684827085.875603,57.14199549151036,0.922
1684827085.8947396,57.08642457749082,0.922
1684827085.915466,57.02220886212763,0.922
1684827085.9351318,56.96672442396931,0.922
1684827085.9559681,56.90961771401038,0.922
1684827085.9758968,56.84425191424188,0.922
