time,heading_from_position,gps_heading,imu_heading,heading_ekf,headAcc
1688814577.563274,44.56,55.164570000000026,257.87,47.24102703990777,17.0
1688814577.5836627,44.56,55.164570000000026,257.87,47.245324443053875,17.0
1688814577.6030443,44.56,55.164570000000026,257.87,47.246368098103645,17.0
1688814577.623153,44.56,55.50128000000001,257.89,47.25121802451139,22.0
1688814577.6434274,44.56,55.50128000000001,257.89,47.25852360985976,22.0
1688814577.6628819,44.56,55.50128000000001,257.89,47.265399454893526,22.0
1688814577.6834435,44.56,55.50128000000001,257.89,47.27055633866885,22.0
1688814577.7032773,44.56,55.50128000000001,257.89,47.277186617808546,22.0
1688814577.7234805,44.56,55.70101,257.90999999999997,47.28172958684872,25.0
1688814577.7434814,44.56,55.70101,257.90999999999997,47.28516750936559,25.0
1688814577.7630305,44.56,55.70101,257.90999999999997,47.28934212956466,25.0
1688814577.7832625,44.56,55.70101,257.90999999999997,47.291061090823106,25.0
1688814577.8035765,44.56,55.70101,257.90999999999997,47.28934212956466,25.0
1688814577.8232198,44.56,55.70101,257.90999999999997,47.287254819465126,25.0
1688814577.842987,44.56,55.70101,257.90999999999997,47.285535858206686,25.0
1688814577.8637457,44.56,55.70101,257.90999999999997,47.28344854810714,25.0
1688814577.8829832,44.56,55.70101,257.90999999999997,47.28160680390167,25.0
1688814577.9032538,44.56,59.369820000000004,257.94,47.28148402095463,34.0
1688814577.9231937,44.56,59.369820000000004,257.94,47.291920571452316,34.0
1688814577.943196,44.56,59.369820000000004,257.94,47.30174320721485,34.0
1688814577.9631398,44.56,59.369820000000004,257.94,47.31095192824222,34.0
1688814577.9831703,44.56,59.369820000000004,257.94,47.32016064926959,34.0
1688814578.003104,44.56,59.369820000000004,257.94,47.329983285032114,34.0
1688814578.0238929,44.56,46.20787999999999,257.95,47.333789556390094,34.0
1688814578.0432408,44.56,46.20787999999999,257.95,47.33820974248324,34.0
1688814578.0631797,44.56,46.20787999999999,257.95,47.34115653321199,34.0
1688814578.0829365,44.56,46.20787999999999,257.95,47.34029705258278,34.0
1688814578.1029766,44.56,46.20787999999999,257.95,47.334403471125256,34.0
1688814578.1233199,44.56,46.20787999999999,257.95,47.32924658734993,34.0
1688814578.1440532,44.56,46.20787999999999,257.95,47.323353005892415,34.0
1688814578.1631002,44.56,46.20787999999999,257.95,47.317827773275994,34.0
1688814578.1832426,44.56,46.20787999999999,257.95,47.31340758718285,34.0
1688814578.2037692,48.96,52.65305999999998,258.0,47.31432845928559,29.0
1688814578.223369,48.96,52.65305999999998,258.0,47.407466633921416,29.0
1688814578.2436333,48.96,52.65305999999998,258.0,47.507438714056455,29.0
1688814578.2628481,48.96,52.65305999999998,258.0,47.635974245658645,29.0
1688814578.2833364,48.96,52.65305999999998,258.0,47.74308718866047,29.0
